,Property type,Value,Substances,Mole fraction compound,Mole fraction type,Mole fraction value,doi
0,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.02533,"['methanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.0472,10.1016/j.jct.2006.08.001
1,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.06216,"['methanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.1316,10.1016/j.jct.2006.08.001
2,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.08186,"['methanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.154,10.1016/j.jct.2006.08.001
3,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.10085,"['methanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.1826,10.1016/j.jct.2006.08.001
4,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.12005,"['methanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.2168,10.1016/j.jct.2006.08.001
5,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.18107,"['methanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.2825,10.1016/j.jct.2006.08.001
6,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.23811,"['methanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.3736,10.1016/j.jct.2006.08.001
7,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.26864,"['methanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.457,10.1016/j.jct.2006.08.001
8,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.29617,"['methanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.5719,10.1016/j.jct.2006.08.001
9,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.2897,"['methanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.6476,10.1016/j.jct.2006.08.001
10,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.27868,"['methanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.6478,10.1016/j.jct.2006.08.001
11,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.25605,"['methanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.7388,10.1016/j.jct.2006.08.001
12,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.20749,"['methanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.7924,10.1016/j.jct.2006.08.001
13,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.1772,"['methanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.8533,10.1016/j.jct.2006.08.001
14,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.13029,"['methanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.9216,10.1016/j.jct.2006.08.001
15,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.01008,"['ethanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.0174,10.1016/j.jct.2006.08.001
16,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.03708,"['ethanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.0671,10.1016/j.jct.2006.08.001
17,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.06302,"['ethanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.1231,10.1016/j.jct.2006.08.001
18,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.12082,"['ethanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.1753,10.1016/j.jct.2006.08.001
19,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.14162,"['ethanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.2147,10.1016/j.jct.2006.08.001
20,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.14429,"['ethanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.2413,10.1016/j.jct.2006.08.001
21,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.14333,"['ethanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.2419,10.1016/j.jct.2006.08.001
22,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.14486,"['ethanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.2817,10.1016/j.jct.2006.08.001
23,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.14296,"['ethanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.2827,10.1016/j.jct.2006.08.001
24,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.14505,"['ethanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.2833,10.1016/j.jct.2006.08.001
25,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.14716,"['ethanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.3313,10.1016/j.jct.2006.08.001
26,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.1447,"['ethanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.332,10.1016/j.jct.2006.08.001
27,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.12851,"['ethanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.3892,10.1016/j.jct.2006.08.001
28,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.12611,"['ethanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.3921,10.1016/j.jct.2006.08.001
29,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.10429,"['ethanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.4593,10.1016/j.jct.2006.08.001
30,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.06584,"['ethanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.546,10.1016/j.jct.2006.08.001
31,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.06537,"['ethanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.5461,10.1016/j.jct.2006.08.001
32,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.05036,"['ethanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.5965,10.1016/j.jct.2006.08.001
33,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.01675,"['ethanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.7236,10.1016/j.jct.2006.08.001
34,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.00735,"['ethanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.8448,10.1016/j.jct.2006.08.001
35,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.0043,"['ethanol', 'tributyl phosphate']",tributyl phosphate,Mole fraction,0.8921,10.1016/j.jct.2006.08.001
