FF,stat,n,mle,stderr,mean,low,high,group
Sage 2.0.0,RMSE,997,0.4754097210256626,0.021840268451266628,0.473934994510754,0.43328829890077913,0.5199189661271593,All
Sage 2.0.0,MUE,997,0.31184217238580253,0.011274063725856718,0.3118777612395628,0.29040905107490456,0.33499117279134166,All
Sage 2.0.0,R2,997,0.7628318179179906,0.02009891221562562,0.7625480676111178,0.723220461894998,0.7992223183803113,All
Sage 2.0.0,rho,997,0.8734024375498339,0.011272992948549719,0.8732180199708786,0.8497854127596052,0.89423417923901,All
Sage 2.2.1,RMSE,997,0.4029979018785344,0.01852383778715849,0.40322416557965657,0.3678953182215316,0.43742381435314115,All
Sage 2.2.1,MUE,997,0.2674386389381958,0.009644538554110012,0.26703829045562555,0.24822578541035584,0.28780807605549336,All
Sage 2.2.1,R2,997,0.8192510272419237,0.01900439377351823,0.8173942847400542,0.7798179192934301,0.8516998507909874,All
Sage 2.2.1,rho,997,0.9051248683148229,0.01048478643561895,0.904853513348856,0.8834558346990026,0.925104494627518,All
smee-v2,RMSE,997,0.4104363428697197,0.020691367222669566,0.40940404617081494,0.37203878881792984,0.4519616170003315,All
smee-v2,MUE,997,0.2643854132074806,0.0097818111564336,0.2639454519124501,0.2451693670890032,0.28410497677152213,All
smee-v2,R2,997,0.8125916581912104,0.01957827229918832,0.8117794101779029,0.7712657525710818,0.8503602268048451,All
smee-v2,rho,997,0.9014386602488329,0.010476233684378286,0.9014997767274148,0.8798714604761371,0.9201187341890902,All
v1-k100,RMSE,997,0.3732500626474623,0.017759081867017783,0.3725233635499309,0.33824180751634775,0.40815877678293205,All
v1-k100,MUE,997,0.24168776016323223,0.008789859839381972,0.24157205183096483,0.22592833299418233,0.2600763734744137,All
v1-k100,R2,997,0.8477026593836402,0.01660519463255741,0.846716941929338,0.813483175010394,0.8761688793916756,All
v1-k100,rho,997,0.9207076948650095,0.008793632450426631,0.920528440289319,0.9007836172424231,0.935642240977704,All
v3-k100,RMSE,997,0.37820967356936575,0.01879815569239731,0.3776334763507386,0.34200506571135175,0.41699787489694273,All
v3-k100,MUE,997,0.24212167961187187,0.009153843835929442,0.2422687521427835,0.2253922822766305,0.2602514532793462,All
v3-k100,R2,997,0.8427793035206083,0.01569696974632638,0.8418114641918765,0.808988501649633,0.8703226499074268,All
v3-k100,rho,997,0.9180301212490846,0.00852305576260665,0.9180119934128173,0.8998863509894784,0.9334584835533914,All
Sage 2.0.0,RMSE,15,0.41785924668090324,0.06171828660627913,0.4125714575322256,0.2942860301443694,0.5424633107788076,"1,2 Diol"
Sage 2.0.0,MUE,15,0.3500264514221199,0.058875134403574204,0.34699237504439917,0.24193954561207312,0.4788751765347809,"1,2 Diol"
Sage 2.0.0,R2,15,0.6488715970845348,0.123970743733226,0.6637972028827895,0.3968802943951503,0.8857500934368994,"1,2 Diol"
Sage 2.0.0,rho,15,0.8055256650688015,0.07877526437316604,0.8127698232669782,0.6267177108626851,0.9399397498389588,"1,2 Diol"
Sage 2.2.1,RMSE,15,0.39355515808109787,0.06979835177629211,0.387907847646481,0.25786554601482753,0.5257523331654606,"1,2 Diol"
Sage 2.2.1,MUE,15,0.32321738258906735,0.057437793213178615,0.32562789266578857,0.22041870375493955,0.43774574472204436,"1,2 Diol"
Sage 2.2.1,R2,15,0.6496158129272487,0.13301800151452572,0.664578470018719,0.386570709028936,0.9067730630151776,"1,2 Diol"
Sage 2.2.1,rho,15,0.8059874769047277,0.08205582987539346,0.812680084704645,0.6319596267557898,0.9439406638992042,"1,2 Diol"
smee-v2,RMSE,15,0.41213505076793944,0.07260108396044858,0.4084611844448161,0.259684331361876,0.5463893577911133,"1,2 Diol"
smee-v2,MUE,15,0.32487941994984193,0.06559690124649557,0.3256097664005263,0.2040044557816095,0.4595380986296308,"1,2 Diol"
smee-v2,R2,15,0.5827232861367655,0.14228837040466005,0.6103036640227215,0.3151492447475702,0.8958398313941703,"1,2 Diol"
smee-v2,rho,15,0.7633631417200896,0.09658353970061494,0.7727491539158343,0.572967750084534,0.9424645023523572,"1,2 Diol"
v1-k100,RMSE,15,0.37987825921602103,0.0430141160679492,0.38012588009180226,0.29527934955404456,0.4631863999270747,"1,2 Diol"
v1-k100,MUE,15,0.3398895052844077,0.043101278811713356,0.3416053404132555,0.2596084361831208,0.4348986430146784,"1,2 Diol"
v1-k100,R2,15,0.7361977177960792,0.10047041543337432,0.749791295411221,0.544482066135039,0.9313929691836881,"1,2 Diol"
v1-k100,rho,15,0.8580196488403276,0.05873352015964415,0.8639431496718758,0.7419774288430995,0.9603065717867443,"1,2 Diol"
v3-k100,RMSE,15,0.4570681050007037,0.04553972862131725,0.45597841005510953,0.3573897768393287,0.5435709641459991,"1,2 Diol"
v3-k100,MUE,15,0.4105252548399688,0.05135131832007026,0.40904013779700743,0.3108914630712541,0.5086485848063247,"1,2 Diol"
v3-k100,R2,15,0.8183722016509274,0.06603173596753739,0.8265767388054394,0.6845074773330884,0.9404426673803659,"1,2 Diol"
v3-k100,rho,15,0.9046392660342175,0.044649703923659904,0.9078470169430237,0.8294477540853115,0.9682289386387658,"1,2 Diol"
Sage 2.0.0,RMSE,12,0.09946842553320585,0.015630067193596504,0.09732186207992244,0.06829467112073251,0.12907147600140872,Acetal
Sage 2.0.0,MUE,12,0.08600469614015922,0.014432894489001936,0.08583452869390899,0.05994804129702602,0.11659841685093371,Acetal
Sage 2.0.0,R2,12,0.9402029048504325,0.042639224821051196,0.9340740100441838,0.8257556286231139,0.986567584963251,Acetal
Sage 2.0.0,rho,12,0.969640606023919,0.025363147287830026,0.9648725865926072,0.8998627847186259,0.994325386111273,Acetal
Sage 2.2.1,RMSE,12,0.09996295908302939,0.014629757433853337,0.09824232503880304,0.06776483434206504,0.1239478025464098,Acetal
Sage 2.2.1,MUE,12,0.08118911444833603,0.017181645269980235,0.08072477108699261,0.04692895775684919,0.11317740016141091,Acetal
Sage 2.2.1,R2,12,0.902513529217534,0.07022783754725108,0.8911703857659362,0.6993980155922505,0.973064756761946,Acetal
Sage 2.2.1,rho,12,0.9500071206141217,0.04477196581036367,0.9418565256811295,0.8309238520622486,0.9858497088281171,Acetal
smee-v2,RMSE,12,0.2501524353843785,0.029659546544755673,0.24766073251191045,0.18786186222088175,0.3021680129837149,Acetal
smee-v2,MUE,12,0.22603160059622404,0.030881616880725795,0.2287575905995522,0.16819957157139295,0.289475751767224,Acetal
smee-v2,R2,12,0.9076149421955219,0.06673704857380093,0.8957383281496156,0.7283768135262456,0.9867120253749074,Acetal
smee-v2,rho,12,0.9526882712595564,0.03581058911675238,0.9486003121856809,0.852723169982933,0.9943894620374165,Acetal
v1-k100,RMSE,12,0.0637504801839484,0.015371558594755386,0.06163420340341942,0.03521007502474136,0.09184441259734424,Acetal
v1-k100,MUE,12,0.05036801372691068,0.011241043208543992,0.04966856393436457,0.031373931588075964,0.0732752641396238,Acetal
v1-k100,R2,12,0.9368749541663073,0.04084886606960675,0.9357139898175264,0.843343813615823,0.9909935914859183,Acetal
v1-k100,rho,12,0.9679230104539864,0.021409500556521202,0.9667946730721823,0.9194174706766046,0.9943339501157321,Acetal
v3-k100,RMSE,12,0.043106871257854576,0.00631228206288657,0.04203255968703067,0.02933925855146119,0.054030683497556714,Acetal
v3-k100,MUE,12,0.03609420006815909,0.006531412526486142,0.036320849439108426,0.0239822720861966,0.049475046840701524,Acetal
v3-k100,R2,12,0.9530950910054715,0.040013126951511595,0.9457998493255859,0.8374977270838577,0.9874374566912087,Acetal
v3-k100,rho,12,0.9762658915507966,0.018320110627914266,0.9739071958524476,0.9277388909745667,0.9933116397193142,Acetal
